Sr No	Token	Original Token	UPOS	EngPOS	SPOS	case	Gender	Number	Person	Morphology Form	Lema	pronunciation
4	هن	هن	DET	DT 	ضمير اشارو					Morphology Form = Simple	هن	Hin
5	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
6	ايماندار	ايماندار	ADJ	JJ 	صفت	Case = ACC	Gender = Masc	Number = Sing		Morphology Form = Bound	ايماندار	Eamaandar
7	سمجھن	سمجھ	VERB	VB 	فعل					Morphology Form = Bound	سمجھ	Samjhan
8	ٿا	ٿا	VERB	VB 	فعل					Morphology Form = Simple	ٿو	thaa
9	.	.	PERIOD		پورو دم							Dot
1	هميشه	هميشه	ADV	RB 	ظرف					Morphology Form = Simple	هميشه	Hamesha
2	سچ	سچ	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	سچ	sach
3	ڳالهائڻ	ڳاله	VERB	VB 	فعل					Morphology Form = Bound	ڳاله	Ghaalhaaen
4	گھرجي	گھرج	AUX	VB 	فعل معاون					Morphology Form = Bound	گھرجي	ghurjay
5	.	.	PERIOD		پورو دم							Dot
6	هميشه	هميشه	ADV	RB 	ظرف					Morphology Form = Simple	هميشه	Hamesha
7	سٺو	سٺو	ADJ	JJ 	صفت					Morphology Form = Bound	سٺو	Sutho
8	سوچجي	سوچ	VERB	VB 	فعل					Morphology Form = Bound	سوچ	Sochjay
9	.	.	PERIOD		پورو دم							Dot
1	هميشه	هميشه	ADV	RB 	ظرف					Morphology Form = Simple	هميشه	Hamesha
2	حق	حق	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	حق	Haq
3	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
4	سچ	سچ	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	سچ	sach
5	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
6	ساٿ	ساٿ	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ساٿ	Saath
7	ڏجي	ڏج	VERB	VB 	فعل					Morphology Form = Bound	ڏجي	Ddijay
8	.	.	PERIOD		پورو دم							Dot
1	هر	هر	DET	DT 	ضمير اشارو					Morphology Form = Simple	هر	Har
2	ماڻهو	ماڻهو	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ماڻهو	Maanhoo
3	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
4	اهميت	اهميت	NOUN	NN 	اسم		Gender = Fem	Number = Sing		Morphology Form = Simple	اهميت	Ahmyat
5	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
6	عزت	عزت	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	عزت	izat
7	ڏيڻ	ڏي	VERB	VB 	فعل					Morphology Form = Simple	ڏيڻ	ddian
8	گھرجي	گھرج	AUX	VB 	فعل معاون					Morphology Form = Bound	گھرجي	ghurjay
9	.	.	PERIOD		پورو دم							Dot
1	هر	هر	DET	DT 	ضمير اشارو					Morphology Form = Simple	هر	Har
2	ماڻهو	ماڻهو	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ماڻهو	Maanhoo
3	صرف	صرف	ADV	RB 	ظرف					Morphology Form = Simple	صرف	Sirf
4	پنهنجي	پنهنجي	PRON	PRP 	ضمير					Morphology Form = Bound	پنهنجي	Pahenji
5	لاءِ	لاءِ	ADP	IN 	حرفِ جر					Morphology Form = Simple	لاءِ	Lae
6	سوچي	سوچ	VERB	VB 	فعل					Morphology Form = Bound	سوچ	Sochay
7	ٿو	ٿو	VERB	VB 	فعل					Morphology Form = Simple	ٿو	tho
8	.	.	PERIOD		پورو دم							Dot
1	هر	هر	DET	DT 	ضمير اشارو					Morphology Form = Simple	هر	Har
2	ماڻهو	ماڻهو	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ماڻهو	Maanhoo
3	پنهنجي	پنهنجي	PRON	PRP 	ضمير					Morphology Form = Bound	پنهنجي	Pahenji
4	ذميواري	ذميوار	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing		Morphology Form = Bound	ذميوار	Zimewaari
5	نڀائي	نڀاءِ	VERB	VB 	فعل					Morphology Form = Bound	نڀاءِ	Nibhai
6	ته	ته	ADP	IN 	حرفِ جر					Morphology Form = Simple	ته	ta
7	معاشرو	معاشرو	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Bound	معاشرو	Muaashiro
8	بهترين	بهترين	ADJ	JJ 	صفت			Number = Sing		Morphology Form = Bound	بهتر	Behtareen
9	ٿي	ٿي	VERB	VB 	فعل					Morphology Form = Simple	ٿي	thee
10	پوندو	پوڻ	VERB	VBG 	فعل					Morphology Form = Simple	پوڻ	pawan
11	.	.	PERIOD		پورو دم							Dot
1	نوازشريف	نوازشريف	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Bound	نوازشريف	Nawaz shareef
2	علاج	علاج	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	علاج	Ilaaj
3	لاءِ	لاءِ	ADP	IN 	حرفِ جر					Morphology Form = Simple	لاءِ	Lae
4	لنڊن	لنڊن	PROPN	NNP	اسم خاص	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	لنڊن	London
5	ويو	ويو	VERB	VBD 	فعل					Morphology Form = Bound	ويو	Wayo
6	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
7	.	.	PERIOD		پورو دم							Dot
1	مِينهن	مِينهن	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	مِينهن	Meehn
2	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
3	مند	مند	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	مند	Mund
4	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
5	کنڀيون	کنڀي	NOUN	NNS	اسم			Number = Plur		Morphology Form = Bound	کنڀي	khunbhyoon
6	جام	جام	ADJ	JJ 	صفت					Morphology Form = Simple	جام	Jaam
7	ٿين	ٿي	VERB	VB 	فعل					Morphology Form = Bound	ٿي	thian
8	.	.	PERIOD		پورو دم							Dot
1	مون	مون	PRON	PRP 	ضمير					Morphology Form = Simple	مون	Moo
2	ڏٺو	ڏٺو	VERB	VBD 	فعل					Morphology Form = Simple	ڏٺو	dditho
3	ته	ته	ADP	IN 	حرفِ جر					Morphology Form = Simple	ته	ta
4	هُو	هُو	DET	DT 	ضمير اشارو					Morphology Form = Simple	هُو	Hoo
5	تمام	تمام	ADV	RB 	ظرف					Morphology Form = Simple	تمام	Tamam
6	گھڻو	گھڻو	ADJ	JJ 	صفت					Morphology Form = Simple	گھڻو	Ghanno
7	سوچي	سوچ	VERB	VB 	فعل					Morphology Form = Bound	سوچ	Sochay
8	رهي	ره	VERB	VB 	فعل					Morphology Form = Bound	رهي	Rahay
9	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
10	.	.	PERIOD		پورو دم							Dot
1	موت	موت	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	موت	Moat
2	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
3	ڊپ	ڊپ	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ڊپ	Ddap
4	کان	کان	ADP	IN 	حرفِ جر					Morphology Form = Simple	کان	khaan
5	هُو	هُو	DET	DT 	ضمير اشارو					Morphology Form = Simple	هُو	Hoo
6	اڪيلو	اڪيلو	ADJ	JJ 	صفت			Number = Sing		Morphology Form = Bound	اڪيلو	Akelo
7	سمهي	سمهي	VERB	VB 	فعل					Morphology Form = Bound	سمه	Sumhau
8	ئي	ئي	ADV	RB 	ظرف					Morphology Form = Simple	ئي	Ee
9	نه	نه	ADV	RB 	ظرف					Morphology Form = Simple	نه	Na 
10	پيو	پيو	VERB	VB 	فعل					Morphology Form = Bound	پيو	payo
11	.	.	PERIOD		پورو دم							Dot
1	نرم	نرم	ADJ	JJ 	صفت					Morphology Form = Bound	نرم	Naram
2	آهيان	آهيان	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahyaan
3	بي	بي	ADV		ظرف			Number = Sing		Morphology Form = Simple	بي	Bee
4	ساھ	ساھ	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ساھ	Saah
5	ته	ته	ADP	IN 	حرفِ جر					Morphology Form = Simple	ته	ta
6	نه	نه	ADV	RB 	ظرف					Morphology Form = Simple	نه	Na 
7	آهيان	آهيان	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahyaan
8	.	.	PERIOD		پورو دم							Dot
1	نئين	نئين	ADJ	JJ 	صفت					Morphology Form = Bound	نئين	Naeen
2	ماڻهو	ماڻهو	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ماڻهو	Maanhoo
3	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
4	ماحول	ماحول	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ماحول	Maahol
5	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
6	سمجھڻ	سمجھ	VERB	VB 	فعل					Morphology Form = Bound	سمجھ	Samjhann
7	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
8	وقت	وقت	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	وقت	Waqt
9	لڳي	لڳ	VERB	VB 	فعل					Morphology Form = Bound	لڳ	Laghay
10	ٿو	ٿو	VERB	VB 	فعل					Morphology Form = Simple	ٿو	tho
11	.	.	PERIOD		پورو دم							Dot
1	منهنجي	منهن	PRON	PRP 	ضمير	Case = Possessive				Morphology Form = Bound	منهنجي	Muhnji
2	سوچ	سوچ	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	سوچ	Soch
3	ڪڏهن	ڪڏهن	ADV	RB 	ظرف					Morphology Form = Simple	ڪڏهن	kedehn
4	به	به	ADP	IN 	حرفِ جر					Morphology Form = Simple	به	Bi
5	بدلجي	بدلجي	VERB	VB 	فعل			Number = Sing		Morphology Form = Bound	بدلجي	Badaljay
6	نٿي	نٿي	ADV	RB 	ظرف					Morphology Form = Bound	نٿي	Nathi
7	سگھي	سگھي	AUX	VB 	فعل معاون					Morphology Form = Bound	سگھي	Saghay
8	.	.	PERIOD		پورو دم							Dot
1	منهنجي	منهن	PRON	PRP 	ضمير	Case = Possessive				Morphology Form = Bound	منهنجي	Muhnji
2	زال	زال	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	زال	Zaal
3	منهنجي	منهن	PRON	PRP 	ضمير	Case = Possessive				Morphology Form = Bound	منهنجي	Muhnji
4	بهترين	بهترين	ADJ	JJ 	صفت			Number = Sing		Morphology Form = Bound	بهتر	Behtareen
5	دوست	دوست	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	دوست	Doast
6	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
7	.	.	PERIOD		پورو دم							Dot
1	مندائتي	مندائتي	ADJ	NN 	صفت					Morphology Form = Bound	مندائتي	Mundaaeti
2	بارش	بارش	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing		Morphology Form = Simple	بارش	Barish
3	فصلن	فصل	NOUN	NNS	اسم	Case = ACC		Number = Plur		Morphology Form = Bound	فصل	Faslan
4	لاءِ	لاءِ	ADP	IN 	حرفِ جر					Morphology Form = Simple	لاءِ	Lae
5	بهتر	بهتر	ADJ	JJ 	صفت			Number = Sing		Morphology Form = Simple	بهتر	Behtar
6	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
7	.	.	PERIOD		پورو دم							Dot
1	ملڪ	ملڪ	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ملڪ	Mulk
2	سان	سان	ADP	IN 	حرفِ جر					Morphology Form = Bound	سان	Saan
3	محبت	محبت	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	محبت	
4	ايمان	ايمان	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ايمان	Eman
5	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
6	نشاني	نشان	NOUN	NN 	اسم		Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	نشان	Nishaani
7	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
8	.	.	PERIOD		پورو دم							Dot
9	مظفر	مظفر	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	مظفر	Muzfar
10	سٺو	سٺو	ADJ	JJ 	صفت					Morphology Form = Bound	سٺو	Sutho
11	شاعر	شاعر	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	شاعر	Shaer
12	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
13	.	.	PERIOD		پورو دم							Dot
1	مظفر	مظفر	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	مظفر	Muzfar
2	نئين	نئين	ADJ	JJ 	صفت					Morphology Form = Bound	نئين	Naeen
3	ٽهي	ٽهي	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ٽهي	tahee
4	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
5	سٺو	سٺو	ADJ	JJ 	صفت					Morphology Form = Bound	سٺو	Sutho
6	شاعر	شاعر	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	شاعر	Shaer
7	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
8	.	.	PERIOD		پورو دم							Dot
1	مسڪراهٽ	مسڪراهٽ	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	مسڪراهٽ	Muskraahat
2	زندگي	زندگي	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	زندگي	Zindagi
3	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
4	خوشيون	خوش	ADJ	JJ 	صفت					Morphology Form = Bound	خوش	Khushyoon
5	آڻي	آڻ	VERB	VB 	فعل					Morphology Form = Bound	آڻ	Aanay
6	ٿي	ٿي	VERB	VB 	فعل					Morphology Form = Simple	ٿي	thee
7	.	.	PERIOD		پورو دم							Dot
1	مختلف	مختلف	ADJ	JJ 	صفت					Morphology Form = Simple	مختلف	Mukhtalif
2	دورن	دور	NOUN	NN 	اسم	Case = Nom		Number = Plur		Morphology Form = Bound	دور	Daoran
3	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
4	قومن	قوم	NOUN	NNS	اسم	Case = Nom		Number = Plur		Morphology Form = Bound	قوم	Qoaman
5	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
6	بقا	بقا	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing		Morphology Form = Simple	بقا	Baqa
7	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
8	سڌاري	سڌار	ADJ	JJ 	صفت					Morphology Form = Bound	سڌارو	Sudharay
9	جا	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Ja
10	معيار	معيار	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Bound	معيار	Mayaar
11	به	به	ADP	IN 	حرفِ جر					Morphology Form = Simple	به	Bi
12	مختلف	مختلف	ADJ	JJ 	صفت					Morphology Form = Simple	مختلف	Mukhtalif
13	رهيا	ره	VERB	VBD 	فعل					Morphology Form = Bound	رهيو	Rahyo
14	آهن	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahin
15	.	.	PERIOD		پورو دم							Dot
1	محنتي	محنت	ADJ	JJ 	صفت					Morphology Form = Bound	محنت	Mehnati
2	ماڻهو	ماڻهو	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ماڻهو	Maanhoo
3	ڪڏهن	ڪڏهن	ADV	RB 	ظرف					Morphology Form = Simple	ڪڏهن	kedehn
4	به	به	ADP	IN 	حرفِ جر					Morphology Form = Simple	به	Bi
5	ناڪام	ناڪام	ADJ	JJ 	صفت					Morphology Form = Bound	ناڪام	Naakaam
6	ناهن	ناه	ADV	RB 	ظرف					Morphology Form = Bound	ناه	Naahin
7	ٿيندا	ٿي	VERB	VBG 	فعل					Morphology Form = Bound	ٿي	Theenda
8	.	.	PERIOD		پورو دم							Dot
9	محنت	محنت	NOUN	NN 	اسم	Case = Nom	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	محنت	Mehnat
10	ڪرڻ	ڪر	VERB	VB 	فعل			Number = Sing		Morphology Form = Simple	ڪر	karan
11	اسان	آءُ	PRON	PRP 	ضمير					Morphology Form = Bound	اسان	Asaan
12	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
13	ڪم	ڪم	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ڪم	kam
14	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
15	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
16	ڪاميابي	ڪامياب	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Bound	ڪامياب	kamyaabi
17	ڏيڻ	ڏي	VERB	VB 	فعل					Morphology Form = Simple	ڏيڻ	ddian
18	ڌڻي	ڌڻي	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ڌڻي	dhanni
19	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
20	ڪم	ڪم	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ڪم	kam
21	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
22	.	.	PERIOD		پورو دم							Dot
1	جيڪڏهن	جيڪڏهن	CONJ	CC 	حرف جملو					Morphology Form = Bound	جيڪڏهن	Jekadahen
2	توهان	توهان	PRON	PRP 	ضمير					Morphology Form = Bound	توهان	Tawhaan
3	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
4	مذهب	مذهب	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	مذهب	Mazhab
5	توهان	توهان	PRON	PRP 	ضمير					Morphology Form = Bound	توهان	Tawhaan
6	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
7	ڪنهن	ڪنهن	DET	DT 	ضمير اشارو					Morphology Form = Simple	ڪنهن	kehn
8	سان	سان	ADP	IN 	حرفِ جر					Morphology Form = Bound	سان	Saan
9	نفرت	نفرت	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	نفرت	Nafrat
10	ڪرڻ	ڪر	VERB	VB 	فعل			Number = Sing		Morphology Form = Simple	ڪر	karan
11	سيکاري	سيکار	VERB	VB 	فعل					Morphology Form = Bound	سيکار	Sekhaare
12	ته	ته	ADP	IN 	حرفِ جر					Morphology Form = Simple	ته	ta
13	توهان	توهان	PRON	PRP 	ضمير					Morphology Form = Bound	توهان	Tawhaan
14	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
15	پنهنجو	پنهنجو	PRON	PRP 	ضمير	Case = Possessive				Morphology Form = Bound	پنهنجو	pahenjo
16	مذهب	مذهب	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	مذهب	Mazhab
17	مٽائڻ	مٽاءِ	VERB	VB 	فعل					Morphology Form = Bound	مٽاءِ	Mitaaen
18	گھرجي	گھرج	AUX	VB 	فعل معاون					Morphology Form = Bound	گھرجي	ghurjay
19	.	.	PERIOD		پورو دم							Dot
1	صبح	صبح	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	صبح	Subuh
2	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
3	سوير	سوير	ADJ	JJ 	صفت					Morphology Form = Simple	سوير	Saver
4	پکين	پکي	NOUN	NNS	اسم	Case = ACC		Number = Plur		Morphology Form = Bound	پکي	pakhian
5	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
6	چون چون	چون	X		نامعلوم					Morphology Form = Bound	چون	choon choon
7	تمام	تمام	ADV	RB 	ظرف					Morphology Form = Simple	تمام	Tamam
8	گھڻو	گھڻو	ADJ	JJ 	صفت					Morphology Form = Simple	گھڻو	Ghanno
9	مزو	مزو	ADJ	JJ 	صفت		Gender = Masc	Number = Sing		Morphology Form = Simple	مزو	Mazo
10	ڏين	ڏي	VERB	VB 	فعل					Morphology Form = Bound	ڏي	Ddian
11	ٿيون	ٿي	VERB	VB 	فعل					Morphology Form = Bound	ٿي	thyoon
12	.	.	PERIOD		پورو دم							Dot
1	محمد	محمد	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	محمد	Muhammad
2	علي	علي	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	علي	Ali
3	ڏاهو	ڏاهو	ADJ	JJ 	صفت					Morphology Form = Simple	ڏاهو	Ddaaho
4	ڇوڪر	ڇوڪر	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ڇوڪر	chhokar
5	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
6	.	.	PERIOD		پورو دم							Dot
1	مختلف	مختلف	ADJ	JJ 	صفت					Morphology Form = Simple	مختلف	Mukhtalif
2	دورن	دور	NOUN	NN 	اسم	Case = Nom		Number = Plur		Morphology Form = Bound	دور	Daoran
3	۾	۾	ADP	IN 	حرفِ جر					Morphology Form = Simple	۾	Me
4	قومن	قوم	NOUN	NNS	اسم	Case = Nom		Number = Plur		Morphology Form = Bound	قوم	Qoaman
5	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
6	بقا	بقا	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing		Morphology Form = Simple	بقا	Baqa
7	۽	۽	CONJ	CC 	حرف جملو						۽	Aen
8	سڌاري	سڌار	ADJ	JJ 	صفت					Morphology Form = Bound	سڌارو	Sudharay
9	جا	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Ja
10	معيار	معيار	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Bound	معيار	Mayaar
11	به	به	ADP	IN 	حرفِ جر					Morphology Form = Simple	به	Bi
12	مختلف	مختلف	ADJ	JJ 	صفت					Morphology Form = Simple	مختلف	Mukhtalif
13	رهيا	ره	VERB	VBD 	فعل					Morphology Form = Bound	رهيو	Rahyo
14	آهن	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahin
15	.	.	PERIOD		پورو دم							Dot
1	محمد	محمد	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	محمد	Muhammad
2	علي	علي	PROPN	NNP	اسم خاص	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	علي	Ali
3	سٺو	سٺو	ADJ	JJ 	صفت					Morphology Form = Bound	سٺو	Sutho
4	ٻار	ٻار	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ٻار	baar
5	آهي	آهي	AUX	VB 	فعل معاون					Morphology Form = Bound	آهي	Aahay
6	.	.	PERIOD		پورو دم							Dot
1	مٺي	مٺي	ADJ	JJ 	صفت					Morphology Form = Simple	مٺي	Mithi
2	زبان	زبان	NOUN	NN 	اسم	Case = ACC	Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	زبان	Zibaan
3	وارو	وارو	ADP	IN 	حرفِ جر					Morphology Form = Bound	وارو	Waaro
4	انسان	انسان	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Bound	انسان	Insaan
5	هرهنڌ	هر	ADV	RB 	ظرف					Morphology Form = Bound	هرهنڌ	Harhandh
6	ساراهيو	ساراه	ADJ	JJ 	صفت					Morphology Form = Bound	ساراه	Saarhaayo
7	وڃي	وڃ	VERB	VB 	فعل					Morphology Form = Bound	وڃ	waghhay
8	ٿو	ٿو	VERB	VB 	فعل					Morphology Form = Simple	ٿو	tho
9	.	.	PERIOD		پورو دم							Dot
1	ماڻهو	ماڻهو	NOUN	NN 	اسم	Case = Nom	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	ماڻهو	Maanhoo
2	جو	جو	ADP	IN 	حرفِ جر					Morphology Form = Simple	جو	Jo
3	اخلاق	اخلاق	NOUN	NN 	اسم	Case = ACC	Gender = Masc	Number = Sing	Person = 3	Morphology Form = Simple	اخلاق	Ikhilaaq
4	ئي	ئي	ADV	RB 	ظرف					Morphology Form = Simple	ئي	Ee
5	ان	ان	DET	DT 	ضمير اشارو		Gender = Fem	Number = Sing	Person = 3	Morphology Form = Simple	ان	In
6	کي	کي	ADP	IN 	حرفِ جر					Morphology Form = Simple	کي	khe
7	خوبصورت	خوبصورت	ADJ	JJ 	صفت	Case = ACC				Morphology Form = Bound	خوبصورت	Khoobsoorat
8	بڻائي	بڻاءِ	VERB	VB 	فعل					Morphology Form = Bound	بڻائي	Bannaa'ay
9	ٿو	ٿو	VERB	VB 	فعل					Morphology Form = Simple	ٿو	tho
10	.	.	PERIOD		پورو دم							Dot
1	ماڻهن	ماڻهو	NOUN	NN 	اسم	Case = Nom		Number = Plur		Morphology Form = Bound	ماڻهو	Manhun
2	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
3	چوڻ	چوڻ	VERB	VB 	فعل					Morphology Form = Simple	چوڻ	chawan
4	جي	جي	ADP	IN 	حرفِ جر	Case = Possessive				Morphology Form = Simple	جي	Je
5	باوجود	باوجود	ADV	RB 	ظرف			Number = Sing		Morphology Form = Bound	باوجود	Bawajood
6	به	به	ADP	IN 	حرفِ جر					Morphology Form = Simple	به	Bi
7	هن	هن	DET	DT 	ضمير اشارو					Morphology Form = Simple	هن	Hin
